"Horse Name","Profile URL","Total Runs"
"Tiny Tetley","https://www.skysports.com/racing/form-profiles/horse/1282937/tiny-tetley","10"
"Magical Escape (IRE)","https://www.skysports.com/racing/form-profiles/horse/1234264/magical-escape-ire","12"
"Night Duty (IRE)","https://www.skysports.com/racing/form-profiles/horse/1248648/night-duty-ire","6"
"Teorie (IRE)","https://www.skysports.com/racing/form-profiles/horse/1220967/teorie-ire","7"
"The Long Point (IRE)","https://www.skysports.com/racing/form-profiles/horse/1302410/the-long-point-ire","4"
"Iris Des Issards (FR)","https://www.skysports.com/racing/form-profiles/horse/1281937/iris-des-issards-fr","9"
"Bredon Hill (IRE)","https://www.skysports.com/racing/form-profiles/horse/1296417/bredon-hill-ire","6"
"Saint Cyr De Pail (FR)","https://www.skysports.com/racing/form-profiles/horse/1239168/saint-cyr-de-pail-fr","6"
"Sea Invasion (IRE)","https://www.skysports.com/racing/form-profiles/horse/1276410/sea-invasion-ire","10"
"Tactical Affair (FR)","https://www.skysports.com/racing/form-profiles/horse/1247390/tactical-affair-fr","10"
"Bodygroove","https://www.skysports.com/racing/form-profiles/horse/1228538/bodygroove","10"
"Kingoftheswingerz (IRE)","https://www.skysports.com/racing/form-profiles/horse/1253902/kingoftheswingerz-ire","9"
"Mister Smarty","https://www.skysports.com/racing/form-profiles/horse/1245108/mister-smarty","12"
"Genies Girl (IRE)","https://www.skysports.com/racing/form-profiles/horse/1302230/genies-girl-ire","5"
"Kingoftheswingerz","https://www.skysports.com/racing/form-profiles/horse/1253902/kingoftheswingerz-ire","9"
"Genies Girl","https://www.skysports.com/racing/form-profiles/horse/1302230/genies-girl-ire","5"
"Ecume Atlantique (FR)","https://www.skysports.com/racing/form-profiles/horse/984449/ecume-atlantique-fr","4"
"Kelce (IRE)","https://www.skysports.com/racing/form-profiles/horse/1234482/kelce-ire","11"
"De Tellers Fortune (IRE)","https://www.skysports.com/racing/form-profiles/horse/1253897/de-tellers-fortune-ire","5"
"Grand Albert (IRE)","https://www.skysports.com/racing/form-profiles/horse/1286921/grand-albert-ire","8"
"Felicie Du Maquis (FR)","https://www.skysports.com/racing/form-profiles/horse/1233222/felicie-du-maquis-fr","6"
"De Tellers Fortune","https://www.skysports.com/racing/form-profiles/horse/1253897/de-tellers-fortune-ire","5"
"Kelce","https://www.skysports.com/racing/form-profiles/horse/1234482/kelce-ire","11"
"Grand Albert","https://www.skysports.com/racing/form-profiles/horse/1286921/grand-albert-ire","8"
"Felicie Du Maquis","https://www.skysports.com/racing/form-profiles/horse/1233222/felicie-du-maquis-fr","6"
"Jukebox Fury (IRE)","https://www.skysports.com/racing/form-profiles/horse/1294194/jukebox-fury-ire","5"
"Farmer Jimmy","https://www.skysports.com/racing/form-profiles/horse/1297599/farmer-jimmy","7"
"Helsgetaway (IRE)","https://www.skysports.com/racing/form-profiles/horse/1280785/helsgetaway-ire","7"
"Skiffle Man (IRE)","https://www.skysports.com/racing/form-profiles/horse/1289867/skiffle-man-ire","4"
"Jo Arengeot Bey Aa (FR)","https://www.skysports.com/racing/form-profiles/horse/1283105/jo-arengeot-bey-aa-fr","6"
"Tees Comp's Clive","https://www.skysports.com/racing/form-profiles/horse/1282784/tees-comps-clive","8"
"Kinder Kid (IRE)","https://www.skysports.com/racing/form-profiles/horse/1286793/kinder-kid-ire","7"
"Rebel Star","https://www.skysports.com/racing/form-profiles/horse/1324176/rebel-star","4"
"Till It Shines (IRE)","https://www.skysports.com/racing/form-profiles/horse/1301268/till-it-shines-ire","12"
"Flying Star (IRE)","https://www.skysports.com/racing/form-profiles/horse/1301942/flying-star-ire","8"
"Till It Shines","https://www.skysports.com/racing/form-profiles/horse/1301268/till-it-shines-ire","12"
"Flying Star","https://www.skysports.com/racing/form-profiles/horse/1301942/flying-star-ire","8"
"Nevernay (IRE)","https://www.skysports.com/racing/form-profiles/horse/1301100/nevernay-ire","12"
